,frame,xcoord,ycoord,brand,conf
0,10,49,66,Nike,0.9753433465957642
1,10,49,66,Nike,0.971057653427124
2,50,276,72,Nike,0.9031159281730652
3,50,276,72,Adidas,0.8716371059417725
4,50,276,72,Adidas,0.843904972076416
5,70,429,76,Nike,0.9994991421699524
6,80,467,77,Nike,0.9997751116752625
7,110,276,69,Asics,0.932515025138855
8,110,276,69,Asics,0.9198894500732422
9,110,276,69,Adidas,0.9167429208755493
10,120,403,72,Asics,0.952277421951294
11,270,141,91,NB,0.8777353167533875
12,290,211,82,NB,0.9280602931976318
13,330,321,73,NB,0.9918582439422607
14,840,72,52,Adidas,0.9994895458221436
15,850,148,112,Asics,0.9673992395401001
16,900,291,67,Adidas,0.9998973608016968
17,900,291,67,Adidas,0.9977225065231323
18,920,388,71,Adidas,0.9791301488876343
19,920,388,71,NB,0.9732482433319092
20,980,44,67,NB,0.9993540644645691
21,990,121,70,NB,0.996483325958252
22,990,121,70,NB,0.9620939493179321
23,1000,215,72,NB,0.9902392029762268
24,1000,215,72,NB,0.9805457592010498
25,1010,336,76,NB,0.9998914003372192
26,1010,336,76,NB,0.9705257415771484
27,1040,331,140,Nike,0.947171688079834
28,1050,154,140,NB,0.9846796989440918
29,1080,192,82,Nike,0.8313134908676147
30,1230,140,61,Adidas,0.8145979642868042
31,1310,59,67,Asics,0.9396730065345764
32,1310,59,67,Nike,0.8408753871917725
33,1320,167,69,Nike,0.9998757839202881
34,1420,357,90,Nike,0.8420524597167969
35,1430,105,80,Asics,0.995982825756073
36,1430,105,80,Nike,0.9205361604690552
37,1480,394,117,Adidas,0.9925261735916138
38,1480,394,117,NB,0.9380261898040771
39,1480,394,117,Adidas,0.878859281539917
40,1490,309,116,Adidas,0.9631394743919373
41,1490,129,107,Adidas,0.8012837767601013
42,1500,106,108,NB,0.9266698360443115
43,1700,266,85,Adidas,0.8100473880767822
44,1920,55,61,NB,1.0
45,1940,203,66,NB,0.9999991655349731
46,1940,203,66,Adidas,0.9605873823165894
47,1940,203,66,Asics,0.8230705261230469
48,1950,357,98,Nike,0.9712626934051514
49,1950,357,98,NB,0.9128583073616028
50,1960,412,72,NB,0.9999545812606812
51,2040,68,66,Nike,0.9225627183914185
52,2060,213,70,Nike,0.9492024779319763
53,2060,213,70,Asics,0.9485145807266235
54,2060,213,70,Adidas,0.8197124004364014
55,2070,356,73,NB,0.9843173027038574
56,2070,356,73,NB,0.9652496576309204
57,2070,356,73,NB,0.8721345663070679
58,2080,464,75,Asics,0.8857471942901611
59,2080,274,67,Adidas,0.9921971559524536
60,2080,274,67,Asics,0.8817418217658997
61,2330,443,111,Nike,0.9457893371582031
62,2340,421,110,NB,0.8971432447433472
63,2350,371,92,NB,0.9997371435165405
64,2350,371,92,Nike,0.947068989276886
65,2350,229,103,NB,0.9855108857154846
66,2360,149,97,NB,0.9099477529525757
67,2360,149,97,Nike,0.8851463198661804
68,2370,113,93,NB,0.8071834444999695
69,2410,76,69,Nike,0.9994008541107178
70,2410,76,69,NB,0.8438291549682617
71,2420,122,70,Nike,0.9958307147026062
72,2430,168,71,NB,0.9783899784088135
73,2430,168,71,NB,0.8217442035675049
74,2440,211,72,Adidas,0.9979879856109619
75,2440,211,72,Nike,0.8941700458526611
